title,placeId,categoryName,categories/0,address,city,neighborhood,street,postalCode,location/lat,location/lng,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,reviewsDistribution/oneStar,phone,website,permanentlyClosed,temporarilyClosed,wasOpenAtScrapeTime,isAdvertisement,searchString,rank,scrapedAt,imagesCount,url,is_rated,open_status,city_clean
Umm Mohamed Restaurant,ChIJmZcF2-hVWBQR6Az92DKW0wo,Restaurant,Restaurant,"122 Ibrahim Al Mazni - Al Akhbar, 6th of October City (2), Giza Governorate 12115, Egypt",6th of October City (2),Not provided,122 Ibrahim Al Mazni - Al Akhbar,12115,29.9380216,30.9139218,,0,0,0,0,0,0,+20 10 68865139,Not provided,False,False,,False,restaurant,8,2026-09-23T10:03:05.406Z,0,https://www.google.com/maps/search/?api=1&query=Umm%20Mohamed%20Restaurant&query_place_id=ChIJmZcF2-hVWBQR6Az92DKW0wo,False,Unknown,6th of October City
كشري وحلواني السلطان,ChIJAZrpuWBVWBQRiSeY6w4h1jk,Restaurant,Restaurant,"WWQF+436, Dolci, 6th of October City (2), Giza Governorate 3225267, Egypt",6th of October City (2),Not provided,"WWQF+436, Dolci",,29.9377947,30.9226548,4.1,436,246,86,52,16,36,+20 10 68515542,https://www.facebook.com/kushuriSultanOctober/,False,False,True,False,restaurant,21,2026-09-23T10:03:06.035Z,58,https://www.google.com/maps/search/?api=1&query=%D9%83%D8%B4%D8%B1%D9%8A%20%D9%88%D8%AD%D9%84%D9%88%D8%A7%D9%86%D9%8A%20%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86&query_place_id=ChIJAZrpuWBVWBQRiSeY6w4h1jk,True,Open,6th of October City
Malek,ChIJpyRVbgBVWBQRu1PmSGupDDA,Breakfast restaurant,Breakfast restaurant,"WWVF+M8C, First 6th of October, 6th of October City (2), Giza Governorate 3225501, Egypt",6th of October City (2),First 6th of October,WWVF+M8C,3225501,29.94414,30.9233739,5.0,1,1,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,22,2026-09-23T10:03:06.035Z,0,https://www.google.com/maps/search/?api=1&query=Malek&query_place_id=ChIJpyRVbgBVWBQRu1PmSGupDDA,True,Unknown,6th of October City
مطعم حضرموت اكتوبر,ChIJFcMYfjBVWBQR0reDl-OgmUY,Meat dish restaurant,Meat dish restaurant,"Emtedad Al Central, First 6th of October, 6th of October City (2), Giza Governorate 3226134, Egypt",6th of October City (2),First 6th of October,Emtedad Al Central,,29.9368469,30.9281298,3.9,235,118,42,34,14,27,+20 10 15222287,https://www.facebook.com/profile.php?id=100093494822228&mibextid=ZbWKwL,False,False,True,False,restaurant,23,2026-09-23T10:03:06.035Z,420,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AD%D8%B6%D8%B1%D9%85%D9%88%D8%AA%20%D8%A7%D9%83%D8%AA%D9%88%D8%A8%D8%B1&query_place_id=ChIJFcMYfjBVWBQR0reDl-OgmUY,True,Open,6th of October City
جولدن رنجة,ChIJX81QfwBVWBQRNtOD27_V65U,Fast food restaurant,Fast food restaurant,"1861 Street 15, First 6th of October, 6th of October City (2), Giza Governorate 3225802, Egypt",6th of October City (2),First 6th of October,1861 Street 15,3225802,29.9460789,30.9283553,5.0,1,1,0,0,0,0,Not provided,https://www.facebook.com/share/1YKzPCg1em/?mibextid=wwXIfr,False,False,,False,restaurant,25,2026-09-23T10:03:06.035Z,13,https://www.google.com/maps/search/?api=1&query=%D8%AC%D9%88%D9%84%D8%AF%D9%86%20%D8%B1%D9%86%D8%AC%D8%A9&query_place_id=ChIJX81QfwBVWBQRNtOD27_V65U,True,Unknown,6th of October City
بيتزا ميلانو,ChIJ-RSucQBVWBQRqu0kBqT1rMo,Pizza restaurant,Pizza restaurant,"شارع ابو الوفاء الرئيسي, عمارات عصفور الجنة، First 6th of October, 6th of October City (2), Giza Governorate 3226172, Egypt",6th of October City (2),First 6th of October,"شارع ابو الوفاء الرئيسي, عمارات عصفور الجنة",3226172,29.9407206,30.9354306,5.0,2,2,0,0,0,0,+20 10 10537935,Not provided,False,False,True,False,restaurant,26,2026-09-23T10:03:06.035Z,5,https://www.google.com/maps/search/?api=1&query=%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%20%D9%85%D9%8A%D9%84%D8%A7%D9%86%D9%88&query_place_id=ChIJ-RSucQBVWBQRqu0kBqT1rMo,True,Open,6th of October City
Pizzahot,ChIJQ5rpWQBVWBQRZHwGgoPsOx8,Pizza restaurant,Pizza restaurant,"WWV7+2Q4, Abbas El-Akad, 6th of October City (2), Giza Governorate 3225152, Egypt",6th of October City (2),Not provided,"WWV7+2Q4, Abbas El-Akad",,29.9425047,30.9144671,5.0,2,2,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,27,2026-09-23T10:03:06.035Z,0,https://www.google.com/maps/search/?api=1&query=Pizzahot&query_place_id=ChIJQ5rpWQBVWBQRZHwGgoPsOx8,True,Unknown,6th of October City
قمر الشام,ChIJKblQLVBVWBQR15gZxaeRkGE,Restaurant,Restaurant,"305 Street 36, First 6th of October, 6th of October City (2), Giza Governorate 3225297, Egypt",6th of October City (2),First 6th of October,305 Street 36,,29.9378218,30.9268667,3.6,30,15,3,5,0,7,+20 10 23425457,Not provided,False,False,True,False,restaurant,28,2026-09-23T10:03:06.035Z,2,https://www.google.com/maps/search/?api=1&query=%D9%82%D9%85%D8%B1%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85&query_place_id=ChIJKblQLVBVWBQR15gZxaeRkGE,True,Open,6th of October City
Golden Renga,ChIJ3zUWCABVWBQRB3CMERZ5g4Y,Fast food restaurant,Fast food restaurant,"WWWH+97W, First 6th of October, Giza Governorate 3225510, Egypt",First 6th of October,First 6th of October,WWWH+97W,,29.9459938,30.9282149,5.0,1,1,0,0,0,0,Not provided,https://www.facebook.com/share/1YKzPCg1em/?mibextid=wwXIfrqw,False,False,,False,restaurant,29,2026-09-23T10:03:06.035Z,2,https://www.google.com/maps/search/?api=1&query=Golden%20Renga&query_place_id=ChIJ3zUWCABVWBQRB3CMERZ5g4Y,True,Unknown,6th of October City
مطعم الخيمة,ChIJDyG6N3xVWBQRK_LBI23Pcuc,Fast food restaurant,Fast food restaurant,"جواد حسني، ثان 6 اكتوبر،, Giza Governorate, Egypt",6th of October City (2),Not provided,جواد حسني، ثان 6 اكتوبر،,,29.9385153,30.9180412,4.6,8,6,1,1,0,0,+20 11 50283259,Not provided,False,False,True,False,restaurant,30,2026-09-23T10:03:06.035Z,4,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%AE%D9%8A%D9%85%D8%A9&query_place_id=ChIJDyG6N3xVWBQRK_LBI23Pcuc,True,Open,6th of October City
اسماك الصياد,ChIJ6XVCWKpVWBQR-1MKX47RRzY,Seafood restaurant,Seafood restaurant,"6 اكتوبر/ الحى السادس /السوق القديم / امام مدخل، المستقبل،، الجيزه, Egypt",6th of October City (2),First 6th of October,6 اكتوبر/ الحى السادس /السوق القديم / امام مدخل، المستقبل،، الجيزه,,29.9369272,30.9279188,3.9,48,26,7,6,1,8,+20 10 67009604,Not provided,False,False,True,False,restaurant,31,2026-09-23T10:03:06.035Z,25,https://www.google.com/maps/search/?api=1&query=%D8%A7%D8%B3%D9%85%D8%A7%D9%83%20%D8%A7%D9%84%D8%B5%D9%8A%D8%A7%D8%AF&query_place_id=ChIJ6XVCWKpVWBQR-1MKX47RRzY,True,Open,6th of October City
احلي لقمة,ChIJNwafgblVWBQR-18HzPgvCLU,Restaurant,Restaurant,"كول, سنتر وادي الملكة - امام, Mobarak School, Giza Governorate 12566, Egypt",6th of October City (2),Not provided,"كول, سنتر وادي الملكة - امام, Mobarak School",12566,29.9427491,30.9147257,3.0,1,0,0,1,0,0,+20 15 54224014,Not provided,False,False,,False,restaurant,32,2026-09-23T10:03:06.035Z,2,https://www.google.com/maps/search/?api=1&query=%D8%A7%D8%AD%D9%84%D9%8A%20%D9%84%D9%82%D9%85%D8%A9&query_place_id=ChIJNwafgblVWBQR-18HzPgvCLU,True,Unknown,6th of October City
مطعم خيمه جملي,ChIJudv1KgBVWBQRznLdaSmJj2Y,Family restaurant,Family restaurant,"ميدان فودفون, قرية المختار، 6th of October City (2), Giza Governorate 3225302, Egypt",6th of October City (2),Not provided,"ميدان فودفون, قرية المختار",,29.9476942,30.9154558,3.0,2,1,0,0,0,1,+20 10 70678287,Not provided,False,False,True,False,restaurant,33,2026-09-23T10:03:06.036Z,0,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AE%D9%8A%D9%85%D9%87%20%D8%AC%D9%85%D9%84%D9%8A&query_place_id=ChIJudv1KgBVWBQRznLdaSmJj2Y,True,Open,6th of October City
Sheikh Elsiaden Seafood,ChIJoTFN-P9VWBQRP3IYA_ynar0,Seafood restaurant,Seafood restaurant,"كول امام كشري قدوره سنتر وادي الملكه, الحي السادس سوق الخضار بجوار مدرسه مبارك, Street 6, Giza Governorate, Egypt",6th of October City (2),Not provided,"كول امام كشري قدوره سنتر وادي الملكه, الحي السادس سوق الخضار بجوار مدرسه مبارك, Street 6",,29.9423037,30.9147006,4.0,1,0,1,0,0,0,+20 12 25555613,https://sheikhelsiaden.com/,False,False,True,False,restaurant,34,2026-09-23T10:03:06.036Z,19,https://www.google.com/maps/search/?api=1&query=Sheikh%20Elsiaden%20Seafood&query_place_id=ChIJoTFN-P9VWBQRP3IYA_ynar0,True,Open,6th of October City
بروست كبابجي الباشا,ChIJ73uTRZ1VWBQRWv7e-GlzLj0,Family restaurant,Family restaurant,"شارع الكهرباء، قسم أول 6 أكتوبر، اول 6 أكتوبر، الجيزة،، قسم أول 6 أكتوبر، اول 6 أكتوبر، الجيزة،, Egypt",6th of October City (2),First 6th of October,شارع الكهرباء، قسم أول 6 أكتوبر، اول 6 أكتوبر، الجيزة،، قسم أول 6 أكتوبر، اول 6 أكتوبر، الجيزة،,,29.9405413,30.9376435,4.1,40,23,7,4,1,5,+20 10 27912024,Not provided,False,False,,False,restaurant,35,2026-09-23T10:03:06.036Z,6,https://www.google.com/maps/search/?api=1&query=%D8%A8%D8%B1%D9%88%D8%B3%D8%AA%20%D9%83%D8%A8%D8%A7%D8%A8%D8%AC%D9%8A%20%D8%A7%D9%84%D8%A8%D8%A7%D8%B4%D8%A7&query_place_id=ChIJ73uTRZ1VWBQRWv7e-GlzLj0,True,Unknown,6th of October City
مشويات الطيب,ChIJFUDpSABXWBQRkBQCfn_yBqk,Chicken restaurant,Chicken restaurant,"WWXH+GW6, Mohmmed Imad Rageb - Al Tahrir St, First 6th of October, 6th of October City (2), Giza Governorate 3225810, Egypt",6th of October City (2),First 6th of October,"WWXH+GW6, Mohmmed Imad Rageb - Al Tahrir St",3225810,29.948853,30.9297032,5.0,9,9,0,0,0,0,+20 10 65871982,Not provided,False,False,,False,restaurant,36,2026-09-23T10:03:06.036Z,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B7%D9%8A%D8%A8&query_place_id=ChIJFUDpSABXWBQRkBQCfn_yBqk,True,Unknown,6th of October City
حضرموت اكتوبر,ChIJDTTzEQBXWBQRfRRWws7sW-I,Barbecue restaurant,Barbecue restaurant,"WWX7+3CP, Vodafone Square, 6th of October City (2), Giza Governorate 3225162, Egypt",6th of October City (2),Not provided,"WWX7+3CP, Vodafone Square",,29.9477197,30.913578,4.1,7,4,2,0,0,1,+20 11 10035785,Not provided,False,False,,False,restaurant,37,2026-09-23T10:03:06.036Z,10,https://www.google.com/maps/search/?api=1&query=%D8%AD%D8%B6%D8%B1%D9%85%D9%88%D8%AA%20%D8%A7%D9%83%D8%AA%D9%88%D8%A8%D8%B1&query_place_id=ChIJDTTzEQBXWBQRfRRWws7sW-I,True,Unknown,6th of October City
مطعم ماكولات الشام,ChIJJ9dWxeRVWBQRpW7Nga0_ZEg,Fast food restaurant,Fast food restaurant,"6th of October City (2), Giza Governorate 3225153, Egypt",6th of October City (2),Not provided,Not provided,,29.9414474,30.9144048,5.0,1,1,0,0,0,0,+20 10 63970472,Not provided,False,False,False,False,restaurant,39,2026-09-23T10:03:06.037Z,9,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%85%D8%A7%D9%83%D9%88%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85&query_place_id=ChIJJ9dWxeRVWBQRpW7Nga0_ZEg,True,Closed,6th of October City
Helal fesh,ChIJk4x2EgBVWBQRBrsjHYEyKt0,Seafood restaurant,Seafood restaurant,"WWWH+88H عقد أول الخزان, First 6th of October, 6th of October City (2), Giza Governorate 3225510, Egypt",6th of October City (2),First 6th of October,WWWH+88H عقد أول الخزان,,29.9458118,30.9283683,5.0,2,2,0,0,0,0,+20 10 06822838,Not provided,False,False,,False,restaurant,40,2026-09-23T10:03:06.037Z,0,https://www.google.com/maps/search/?api=1&query=Helal%20fesh&query_place_id=ChIJk4x2EgBVWBQRBrsjHYEyKt0,True,Unknown,6th of October City
فراخ ابو اية,ChIJmwpiHgBVWBQRTqub5NmLeEE,Chicken restaurant,Chicken restaurant,"WWR7+H6F, Abbas El-Akad, First 6th of October, 6th of October City (2), Giza Governorate 3225151, Egypt",6th of October City (2),First 6th of October,"WWR7+H6F, Abbas El-Akad",3225151,29.941435,30.913051,3.0,3,1,0,1,0,1,Not provided,Not provided,False,False,,False,restaurant,41,2026-09-23T10:03:06.871Z,7,https://www.google.com/maps/search/?api=1&query=%D9%81%D8%B1%D8%A7%D8%AE%20%D8%A7%D8%A8%D9%88%20%D8%A7%D9%8A%D8%A9&query_place_id=ChIJmwpiHgBVWBQRTqub5NmLeEE,True,Unknown,6th of October City
مطعم الحريف,ChIJCx4IAuZVWBQRLgqf5P-bTnM,Falafel restaurant,Falafel restaurant,"إبراهيم عبد القادر المزني،6 اكتوبر، الحي السادس قسم, Giza Governorate, Egypt",6th of October City (2),Not provided,إبراهيم عبد القادر المزني،6 اكتوبر، الحي السادس قسم,,29.9403447,30.9134357,4.5,4,3,0,1,0,0,+20 11 10360303,Not provided,False,False,True,False,restaurant,42,2026-09-23T10:03:06.871Z,40,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%AD%D8%B1%D9%8A%D9%81&query_place_id=ChIJCx4IAuZVWBQRLgqf5P-bTnM,True,Open,6th of October City
United General Trading & Supplies,ChIJZXsINUBVWBQRzTg1NEAaWZM,Restaurant,Restaurant,"WWR7+HQC, 6th of October City (2), Giza Governorate 12573, Egypt",6th of October City (2),Not provided,WWR7+HQC,12573,29.9414475,30.9144048,,0,0,0,0,0,0,+20 10 00501467,Not provided,False,False,True,False,restaurant,43,2026-09-23T10:03:06.871Z,0,https://www.google.com/maps/search/?api=1&query=United%20General%20Trading%20%26%20Supplies&query_place_id=ChIJZXsINUBVWBQRzTg1NEAaWZM,False,Open,6th of October City
اسماك ابو هاني,ChIJo_AMQeBVWBQRrjTxcBKUMTw,Fish restaurant,Fish restaurant,"إبراهيم عبد القادر المازني،6 اكتوبر،قسم 6 ٦ أكتوبر, Giza Governorate, Egypt",6th of October City (2),Not provided,إبراهيم عبد القادر المازني،6 اكتوبر،قسم 6 ٦ أكتوبر,,29.9403519,30.913427,3.8,58,28,10,7,7,6,+20 10 01934942,Not provided,False,False,True,False,restaurant,44,2026-09-23T10:03:06.871Z,30,https://www.google.com/maps/search/?api=1&query=%D8%A7%D8%B3%D9%85%D8%A7%D9%83%20%D8%A7%D8%A8%D9%88%20%D9%87%D8%A7%D9%86%D9%8A&query_place_id=ChIJo_AMQeBVWBQRrjTxcBKUMTw,True,Open,6th of October City
شيف عزومات وحفلات وافراح واعياد ميلاد,ChIJneEuCjlVWBQRf3_6MZ1FWn4,Family restaurant,Family restaurant,"WWVF+3QM, First 6th of October, 6th of October City (2), Giza Governorate 3225503, Egypt",6th of October City (2),First 6th of October,WWVF+3QM,,29.9427064,30.9244185,3.5,2,1,0,0,1,0,Not provided,Not provided,False,False,,False,restaurant,46,2026-09-23T10:03:06.871Z,0,https://www.google.com/maps/search/?api=1&query=%D8%B4%D9%8A%D9%81%20%D8%B9%D8%B2%D9%88%D9%85%D8%A7%D8%AA%20%D9%88%D8%AD%D9%81%D9%84%D8%A7%D8%AA%20%D9%88%D8%A7%D9%81%D8%B1%D8%A7%D8%AD%20%D9%88%D8%A7%D8%B9%D9%8A%D8%A7%D8%AF%20%D9%85%D9%8A%D9%84%D8%A7%D8%AF&query_place_id=ChIJneEuCjlVWBQRf3_6MZ1FWn4,True,Unknown,6th of October City
توميه وعيش,ChIJAxWsNgBVWBQRXc7YcftmXF4,Fast food restaurant,Fast food restaurant,"عمارات عصفور الجنة، شارع أبو الوفا، الرئيسي, 6th of October City (2), Giza Governorate 3226172, Egypt",6th of October City (2),الرئيسي,عمارات عصفور الجنة، شارع أبو الوفا,,29.9404905,30.9358465,3.4,23,9,5,1,2,6,+20 12 00747324,Not provided,False,False,,False,restaurant,47,2026-09-23T10:03:06.871Z,16,https://www.google.com/maps/search/?api=1&query=%D8%AA%D9%88%D9%85%D9%8A%D9%87%20%D9%88%D8%B9%D9%8A%D8%B4&query_place_id=ChIJAxWsNgBVWBQRXc7YcftmXF4,True,Unknown,6th of October City
October fish,ChIJp_BiWgBVWBQR3KMbFSg_0yk,Fish restaurant,Fish restaurant,"WWR7+4CC, Ahmed Lotfy El-Sayed, 6th of October City (2), Giza Governorate 3225136, Egypt",6th of October City (2),Not provided,"WWR7+4CC, Ahmed Lotfy El-Sayed",3225136,29.9399981,30.9140152,,0,0,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,48,2026-09-23T10:03:06.871Z,0,https://www.google.com/maps/search/?api=1&query=October%20fish&query_place_id=ChIJp_BiWgBVWBQR3KMbFSg_0yk,False,Unknown,6th of October City
Fatfood,ChIJR_kmDABVWBQRqSZuUjvQRuE,American restaurant,American restaurant,"WWWH+HJF, Street 15, First 6th of October, 6th of October City (2), Giza Governorate 3225801, Egypt",6th of October City (2),First 6th of October,"WWWH+HJF, Street 15",3225801,29.946139,30.928111,,0,0,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,49,2026-09-23T10:03:06.871Z,0,https://www.google.com/maps/search/?api=1&query=Fatfood&query_place_id=ChIJR_kmDABVWBQRqSZuUjvQRuE,False,Unknown,6th of October City
دولسي,ChIJAShQWwBVWBQRWP4gq-gmXKI,Koshari restaurant,Koshari restaurant,"WWQF+548, Zaki Naguib Mahmoud, 6th of October City (2), Giza Governorate 3225290, Egypt",6th of October City (2),Not provided,"WWQF+548, Zaki Naguib Mahmoud",3225290,29.937903,30.922826,,0,0,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,50,2026-09-23T10:03:06.871Z,0,https://www.google.com/maps/search/?api=1&query=%D8%AF%D9%88%D9%84%D8%B3%D9%8A&query_place_id=ChIJAShQWwBVWBQRWP4gq-gmXKI,False,Unknown,6th of October City
مطعم الحليل,ChIJsaITJABVWBQRZCzsicrSd14,Fast food restaurant,Fast food restaurant,"1 Dolci, 6th of October City (2), Giza Governorate 3225290, Egypt",6th of October City (2),Not provided,1 Dolci,3225290,29.937947,30.9230087,4.0,1,0,1,0,0,0,+20 12 10207607,Not provided,False,False,True,False,restaurant,51,2026-09-23T10:03:06.871Z,8,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%AD%D9%84%D9%8A%D9%84&query_place_id=ChIJsaITJABVWBQRZCzsicrSd14,True,Open,6th of October City
أسماك أولاد هلال,ChIJS3jklvZVWBQRifYidVkT6Y4,Seafood restaurant,Seafood restaurant,"WWR7+4CC, Ahmed Lotfy El-Sayed, 6th of October City (2), Giza Governorate 3225136, Egypt",6th of October City (2),Not provided,"WWR7+4CC, Ahmed Lotfy El-Sayed",,29.9403047,30.9135207,3.6,53,24,9,7,1,12,+20 11 15681915,Not provided,False,False,True,False,restaurant,52,2026-09-23T10:03:06.871Z,11,https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%85%D8%A7%D9%83%20%D8%A3%D9%88%D9%84%D8%A7%D8%AF%20%D9%87%D9%84%D8%A7%D9%84&query_place_id=ChIJS3jklvZVWBQRifYidVkT6Y4,True,Open,6th of October City
بيتزا لاند,ChIJuRBnBQBVWBQRZ5hx8vMbCyk,Pizza Takeout,Pizza Takeout,"156 رقم 19، قسم أول 6 أكتوبر، اول 6 أكتوبر, 156 Street 19, First 6th of October, 6th of October City (2), Giza Governorate 3225325, Egypt",6th of October City (2),First 6th of October,"156 رقم 19، قسم أول 6 أكتوبر، اول 6 أكتوبر, 156 Street 19",3225325,29.9472069,30.9190253,3.9,8,5,0,1,1,1,+20 11 12224964,https://m.facebook.com/photo.php?fbid=122097363728040261,False,False,,False,restaurant,53,2026-09-23T10:03:06.872Z,0,https://www.google.com/maps/search/?api=1&query=%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%20%D9%84%D8%A7%D9%86%D8%AF&query_place_id=ChIJuRBnBQBVWBQRZ5hx8vMbCyk,True,Unknown,6th of October City
مطعم كبده متنقل,ChIJOR3wd0BVWBQRIEqTicQq79Q,Fast food restaurant,Fast food restaurant,"إبراهيم المازني - الاخبار، قسم ثان 6 أكتوبر،, Giza Governorate, Egypt",6th of October City (2),Not provided,إبراهيم المازني - الاخبار، قسم ثان 6 أكتوبر،,,29.9389168,30.9136092,4.3,3,2,0,1,0,0,Not provided,Not provided,False,False,,False,restaurant,54,2026-09-23T10:03:06.872Z,2,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%83%D8%A8%D8%AF%D9%87%20%D9%85%D8%AA%D9%86%D9%82%D9%84&query_place_id=ChIJOR3wd0BVWBQRIEqTicQq79Q,True,Unknown,6th of October City
El Emam Fishes,ChIJmZcF2-hVWBQReh5VhcmfWeQ,Seafood restaurant,Seafood restaurant,"122 Ibrahim Al Mazni - Al Akhbar, 6th of October City (2), Giza Governorate 12115, Egypt",6th of October City (2),Not provided,122 Ibrahim Al Mazni - Al Akhbar,12115,29.9379767,30.913968,2.8,4,1,1,0,0,2,+20 10 04063723,https://www.yellowpages.com.eg/ar/profile/%D8%A7%D8%B3%D9%85%D8%A7%D9%83-%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D9%85/438992,False,False,True,False,restaurant,55,2026-09-23T10:03:06.872Z,0,https://www.google.com/maps/search/?api=1&query=El%20Emam%20Fishes&query_place_id=ChIJmZcF2-hVWBQReh5VhcmfWeQ,True,Open,6th of October City
أسماك الرحمة,ChIJIWvARvZVWBQRXCUQXTV_1IY,Seafood restaurant,Seafood restaurant,"First 6th of October, 6th of October City (2), Giza Governorate 3226210, Egypt",6th of October City (2),First 6th of October,Not provided,3226210,29.941339,30.9350666,3.1,12,4,1,3,0,4,+20 11 29381828,Not provided,False,False,True,False,restaurant,56,2026-09-23T10:03:06.872Z,1,https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%85%D8%A7%D9%83%20%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9&query_place_id=ChIJIWvARvZVWBQRXCUQXTV_1IY,True,Open,6th of October City
كبابجي وكريب النور,ChIJqUnbLwBVWBQRQmcMZbTMlJA,Barbecue restaurant,Barbecue restaurant,"WWR7+HQC, 6th of October City (2), Giza Governorate 3225153, Egypt",6th of October City (2),Not provided,WWR7+HQC,,29.9414474,30.9144048,,0,0,0,0,0,0,+20 10 12619480,Not provided,False,False,True,False,restaurant,57,2026-09-23T10:03:06.872Z,0,https://www.google.com/maps/search/?api=1&query=%D9%83%D8%A8%D8%A7%D8%A8%D8%AC%D9%8A%20%D9%88%D9%83%D8%B1%D9%8A%D8%A8%20%D8%A7%D9%84%D9%86%D9%88%D8%B1&query_place_id=ChIJqUnbLwBVWBQRQmcMZbTMlJA,False,Open,6th of October City
Best burger,ChIJc6AeBwBVWBQRlOO02CAAPr0,Hamburger restaurant,Hamburger restaurant,"Al-Kahraba St, First 6th of October, 6th of October City (2), Giza Governorate 3227002, Egypt",6th of October City (2),First 6th of October,Al-Kahraba St,,29.9357157,30.933924,,0,0,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,58,2026-09-23T10:03:06.872Z,0,https://www.google.com/maps/search/?api=1&query=Best%20burger&query_place_id=ChIJc6AeBwBVWBQRlOO02CAAPr0,False,Unknown,6th of October City
احد فروع مطاعم أبو حمزة Chicken Friesh,ChIJcSH1BaNVWBQRMz_TBgOrRNY,Chicken restaurant,Chicken restaurant,"Ahmed Lotfy El-Sayed, 6th of October City (2), Giza Governorate 12591, Egypt",6th of October City (2),Not provided,Ahmed Lotfy El-Sayed,12591,29.9409314,30.9132752,1.0,3,0,0,0,0,3,+20 11 11297049,https://www.facebook.com/profile.php?id=100090776290725&mibextid=ZbWKwL,False,False,True,False,restaurant,59,2026-09-23T10:03:06.872Z,4,https://www.google.com/maps/search/?api=1&query=%D8%A7%D8%AD%D8%AF%20%D9%81%D8%B1%D9%88%D8%B9%20%D9%85%D8%B7%D8%A7%D8%B9%D9%85%20%D8%A3%D8%A8%D9%88%20%D8%AD%D9%85%D8%B2%D8%A9%20Chicken%20Friesh&query_place_id=ChIJcSH1BaNVWBQRMz_TBgOrRNY,True,Open,6th of October City
مخزن مونفلورا,ChIJcUnsbABVWBQR_w4OHcmpd8Q,Fast food restaurant,Fast food restaurant,"WWWC+M89, Street 31, First 6th of October, 6th of October City (2), Giza Governorate 3225412, Egypt",6th of October City (2),First 6th of October,"WWWC+M89, Street 31",,29.9466637,30.9208686,,0,0,0,0,0,0,Not provided,Not provided,False,False,,False,restaurant,60,2026-09-23T10:03:06.872Z,0,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%AE%D8%B2%D9%86%20%D9%85%D9%88%D9%86%D9%81%D9%84%D9%88%D8%B1%D8%A7&query_place_id=ChIJcUnsbABVWBQR_w4OHcmpd8Q,False,Unknown,6th of October City
مطعم الغواصه للمأكولات البحرية,ChIJF3oGXdlXWBQRGI03PVYwlEQ,Seafood restaurant,Seafood restaurant,"حمد, مطعم الغواصه للمأكولات البحرية.الحي الخامس، المجاورة التانية، شارع, Egypt",6th of October City (2),First 6th of October,"حمد, مطعم الغواصه للمأكولات البحرية.الحي الخامس، المجاورة التانية، شارع",,29.9500267,30.9183342,4.4,218,144,41,16,6,11,+20 10 19097706,https://www.facebook.com/Submarine.egy,False,False,True,False,مطعم,1,2026-09-23T10:03:07.095Z,43,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%BA%D9%88%D8%A7%D8%B5%D9%87%20%D9%84%D9%84%D9%85%D8%A3%D9%83%D9%88%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9&query_place_id=ChIJF3oGXdlXWBQRGI03PVYwlEQ,True,Open,6th of October City
